Fees Status,Day,Month,Advertising Channel,Advertisement ,Enrolled Courses,Paid Fees,Number of phone calls,Average call duration,Training Models,Training Levels,Location,Sale Team,Consultant
Paid,9,Oct,Company Website,AD01-9362,4,USD 100.000,1,8:00,Crane,Fndn. L5,Arizona,Mohammed,Kenza
Paid,4,May,Company Website,AD01-9362,4,USD 55.000,1,11:20,Crane,Pre. L3,Arizona,Mohammed,Kenza
Paid,3,Nov,Direct Call,AD01-9361,4,USD 55.000,6,2:00,Crane,Fndn. L5,Arizona,Abdullah,Reham
Paid,12,Jan,Company Website,AD01-9361,2,USD 600.000,1,2:00,Excavator,Fndn. L5,Arizona,Mohammed,Kenza
Paid,30,Oct,Company Website,AD01-9362,2,USD 600.000,1,3:40,Excavator,Pre. L3,Arizona,Abdullah,Hisham
Paid,12,Jun,Company Website,AD01-9362,3,USD 750.000,3,10:10,Excavator,Pre. L4,Arizona,Abdullah,Hisham
Paid,11,Aug,Company Website,AD01-9361,1,USD 350.000,6,12:45,Excavator,Fndn. L5,Arizona,Mohammed,Kenza
Paid,10,Jan,Facebook Page,AD01-9362,2,USD 600.000,1,2:00,Excavator,KJI. L4,Arizona,Abdullah,Adam
Paid,30,Nov,Direct Call,AD01-9364,3,USD 750.000,1,2:30,Excavator,Fndn. L5,Arizona,Abdullah,Reham
Paid,10,Jul,Direct Call,AD01-9361,1,USD 350.000,1,2:30,Excavator,Pre. L2,Arizona,Salah,Dary
Paid,18,Nov,Direct Call,AD01-9364,5,USD 1.050.000,1,2:50,Excavator,KJI. L4,Arizona,Ahmed,Khalil
Paid,11,Feb,Google Ad,AD01-9362,2,USD 500.000,1,2:00,Excavator,Fndn. L1,Arizona,Salah,John
Paid,5,Oct,Google Ad,AD01-9361,5,USD 1.250.000,2,2:00,Excavator,Pre. L3,Arizona,Abdullah,Reham
Paid,28,Jul,Google Ad,AD01-9362,2,USD 600.000,1,2:10,Excavator,KJI. L4,Arizona,Abdullah,Reham
